Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
TMUS,"T-Mobile US, Inc.",185159221248.0,18.07487,2.36,0.17994,120427003904.0,0.079,Communication Services,Telecom Services,USD
CVX,Chevron Corporation,367001894912.0,17.986057,3.62,,45427998720.0,0.526,Energy,Oil & Gas Integrated,USD
MRK,"Merck & Co., Inc.",317693526016.0,102.90401,2.66,0.18944,49116999680.0,0.049,Healthcare,Drug Manufacturers - General,USD
WFC,Wells Fargo & Company,269665140736.0,12.961483,2.31,0.12575,478470012928.0,0.095,Financial Services,Banks - Diversified,USD
CSCO,"Cisco Systems, Inc.",484678205440.0,41.12709,1.45,0.25229,33001000960.0,0.12,Technology,Communication Equipment,USD
ACN,Accenture plc,103883284480.0,13.548284,3.93,0.24406,8388769792.0,0.056,Technology,Information Technology Services,USD
NOW,"ServiceNow, Inc.",121158189056.0,71.45726,,0.14244,8453000192.0,0.24,Technology,Software - Application,USD
AXP,American Express Company,235591958528.0,21.181847,1.13,0.34377,59092000768.0,0.128,Financial Services,Credit Services,USD
MCD,McDonald's Corporation,193258307584.0,22.078005,2.77,,,0.038,Consumer Cyclical,Restaurants,USD
PEP,"PepsiCo, Inc.",188931457024.0,18.103403,4.26,0.51508,53213999104.0,0.064,Consumer Defensive,Beverages - Non-Alcoholic,USD
BX,Blackstone Inc.,168992784384.0,30.37584,4.09,0.31374002,14027316224.0,0.286,Financial Services,Asset Management,USD
IBM,International Business Machines Corporation,224256245760.0,21.139431,3.02,0.34460998,65272000512.0,0.011,Technology,Information Technology Services,USD
DIS,The Walt Disney Company,176325378048.0,16.2464,1.53,0.1101,47358001152.0,0.065,Communication Services,Entertainment,USD
LIN,Linde plc,226597093376.0,31.692778,1.34,0.18400998,28013000704.0,0.093,Basic Materials,Specialty Chemicals,USD
TMO,Thermo Fisher Scientific Inc.,212649066496.0,30.953714,0.33,0.13515,42548998144.0,0.105,Healthcare,Diagnostics & Research,USD
MS,Morgan Stanley,344723881984.0,17.727566,2.19,,579511975936.0,0.28,Financial Services,Capital Markets,USD
ABT,Abbott Laboratories,182573367296.0,33.921684,2.39,0.10576,32719998976.0,0.13,Healthcare,Medical Devices,USD
ADBE,Adobe Inc.,102562947072.0,14.760869,,0.62953997,7077000192.0,0.127,Technology,Software - Application,USD
AMD,"Advanced Micro Devices, Inc.",796792979456.0,162.3422,,0.08063,3871000064.0,0.378,Technology,Semiconductors,USD
PM,Philip Morris International Inc.,296152104960.0,26.064472,3.15,,49138999296.0,0.104,Consumer Defensive,Tobacco,USD
ISRG,"Intuitive Surgical, Inc.",134139297792.0,42.8866,,0.17423001,0.0,0.185,Healthcare,Medical Instruments & Supplies,USD
PLTR,Palantir Technologies Inc.,382398693376.0,176.81113,,0.38097,211400000.0,0.928,Technology,Software - Infrastructure,USD
GE,GE Aerospace,394740662272.0,44.811546,0.5,0.48231998,20230000640.0,0.211,Industrials,Aerospace & Defense,USD
INTU,Intuit Inc.,88976113664.0,19.690071,1.52,0.22496,6899999744.0,0.104,Technology,Software - Application,USD
GS,"The Goldman Sachs Group, Inc.",311764484096.0,16.53374,1.96,0.16951999,795999993856.0,0.425,Financial Services,Capital Markets,USD
CAT,Caterpillar Inc.,408761532416.0,38.203617,0.8,0.51331,43065999360.0,0.222,Industrials,Farm & Heavy Construction Machinery,USD
TXN,Texas Instruments Incorporated,255394283520.0,42.50076,2.0,0.35176,14051999744.0,0.228,Technology,Semiconductors,USD
QCOM,QUALCOMM Incorporated,166246498304.0,18.094858,2.49,0.33754003,15269999616.0,-0.04,Technology,Semiconductors,USD
VZ,Verizon Communications Inc.,190683414528.0,11.951823,6.05,0.15842,193646002176.0,-0.007,Communication Services,Telecom Services,USD
